date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:23	113/113	---MC-	200	added ('OK')	text/plain	date:Tue,%2012%20Mar%202024%2016:40:23%20GMT	https://nysexerc.com/robots.txt		(from )
11:40:23	71315/71315	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2016:40:23%20GMT	https://nysexerc.com/	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/index.html	(from )
11:40:23	233567/233567	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Oct%202023%2014:47:50%20GMT	https://nysexerc.com/wp-content/uploads/2023/10/ny-logo.png	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-content/uploads/2023/10/ny-logo.png	(from https://nysexerc.com/)
11:40:24	1634/1634	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2005%20Oct%202023%2004:46:52%20GMT	https://nysexerc.com/feed/	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/feed/index.html	(from https://nysexerc.com/)
11:40:24	1621/1621	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2005%20Oct%202023%2004:46:52%20GMT	https://nysexerc.com/comments/feed/	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/comments/feed/index.html	(from https://nysexerc.com/)
11:40:24	186/186	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Mar%202022%2008:35:16%20GMT	https://nysexerc.com/wp-content/themes/Avada-Child-Theme/style.css?ver=6.4.3	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-content/themes/Avada-Child-Theme/style84fc.css	(from https://nysexerc.com/)
11:40:24	110147/110147	---M--	200	added ('OK')	text/css	date:Wed,%2031%20Jan%202024%2008:08:02%20GMT	https://nysexerc.com/wp-includes/css/dist/block-library/style.min.css?ver=6.4.3	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-includes/css/dist/block-library/style.min84fc.css	(from https://nysexerc.com/)
11:40:24	87553/87553	---M--	200	added ('OK')	application/javascript	date:Wed,%2008%20Nov%202023%2005:26:56%20GMT	https://nysexerc.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://nysexerc.com/)
11:40:25	13577/13577	---M--	200	added ('OK')	application/javascript	date:Fri,%2009%20Jun%202023%2005:49:24%20GMT	https://nysexerc.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://nysexerc.com/)
11:40:25	1063416/1063416	---M--	200	added ('OK')	text/css	date:Thu,%2005%20Oct%202023%2004:47:12%20GMT	https://nysexerc.com/wp-content/uploads/fusion-styles/531843646cdf65a2c62f3a3051a974b5.min.css?ver=3.6	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-content/uploads/fusion-styles/531843646cdf65a2c62f3a3051a974b5.min039c.css	(from https://nysexerc.com/)
11:40:25	38060/38060	---MC-	200	added ('OK')	application/json	date:Tue,%2012%20Mar%202024%2016:40:26%20GMT	https://nysexerc.com/wp-json/wp/v2/pages/7	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-json/wp/v2/pages/7.json	(from https://nysexerc.com/)
11:40:25	230853/230853	---MC-	200	added ('OK')	application/json	date:Tue,%2012%20Mar%202024%2016:40:26%20GMT	https://nysexerc.com/wp-json/	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-json/index.html	(from https://nysexerc.com/)
11:40:26	786/786	---M--	200	added ('OK')	text/xml	date:Tue,%2012%20Mar%202024%2016:40:26%20GMT	https://nysexerc.com/xmlrpc.php?rsd	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/xmlrpc0db0.php	(from https://nysexerc.com/)
11:40:26	2061/2061	---MC-	200	added ('OK')	application/json	date:Tue,%2012%20Mar%202024%2016:40:27%20GMT	https://nysexerc.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnysexerc.com%2F	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-json/oembed/1.0/embed6e7c.json	(from https://nysexerc.com/)
11:40:26	2220/2220	---MC-	200	added ('OK')	text/xml	date:Tue,%2012%20Mar%202024%2016:40:27%20GMT	https://nysexerc.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnysexerc.com%2F&format=xml	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-json/oembed/1.0/embed1ef3	(from https://nysexerc.com/)
11:40:26	19164/19164	---M--	200	added ('OK')	font/woff	date:Tue,%2022%20Mar%202022%2008:35:04%20GMT	https://nysexerc.com/wp-content/themes/Avada/includes/lib/assets/fonts/icomoon/awb-icons.woff	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-content/themes/Avada/includes/lib/assets/fonts/icomoon/awb-icons.woff	(from https://nysexerc.com/)
11:40:29	13264/13264	---M--	200	added ('OK')	font/woff2	date:Tue,%2022%20Mar%202022%2008:35:04%20GMT	http://nysexerc.com/wp-content/themes/Avada/includes/lib/assets/fonts/fontawesome/webfonts/fa-regular-400.woff2	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-content/themes/Avada/includes/lib/assets/fonts/fontawesome/webfonts/fa-regular-400.woff2	(from https://nysexerc.com/)
11:40:30	38291/38291	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2016:40:31%20GMT	https://nysexerc.com/author/admin/	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/author/admin/index.html	(from https://nysexerc.com/)
11:40:37	76736/76736	---M--	200	added ('OK')	font/woff2	date:Tue,%2022%20Mar%202022%2008:35:04%20GMT	http://nysexerc.com/wp-content/themes/Avada/includes/lib/assets/fonts/fontawesome/webfonts/fa-brands-400.woff2	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-content/themes/Avada/includes/lib/assets/fonts/fontawesome/webfonts/fa-brands-400.woff2	(from https://nysexerc.com/)
11:40:39	78212/78212	---M--	200	added ('OK')	font/woff2	date:Tue,%2022%20Mar%202022%2008:35:04%20GMT	http://nysexerc.com/wp-content/themes/Avada/includes/lib/assets/fonts/fontawesome/webfonts/fa-solid-900.woff2	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-content/themes/Avada/includes/lib/assets/fonts/fontawesome/webfonts/fa-solid-900.woff2	(from https://nysexerc.com/)
11:40:39	178319/178319	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Oct%202023%2015:10:57%20GMT	https://nysexerc.com/wp-content/uploads/2023/10/logo-2.png	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-content/uploads/2023/10/logo-2.png	(from https://nysexerc.com/)
11:40:39	217403/217403	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Oct%202023%2017:20:10%20GMT	https://nysexerc.com/wp-content/uploads/2023/10/im-2.png	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-content/uploads/2023/10/im-2.png	(from https://nysexerc.com/)
11:40:39	2060143/2060143	---M--	200	added ('OK')	video/mp4	date:Tue,%2003%20Oct%202023%2015:07:20%20GMT	https://nysexerc.com/wp-content/uploads/2023/10/Market-Loop-Background-Video-High-Resolution.mp4	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-content/uploads/2023/10/Market-Loop-Background-Video-High-Resolution.mp4	(from https://nysexerc.com/)
11:40:39	4235/4235	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Sep%202023%2016:46:49%20GMT	https://nysexerc.com/wp-content/uploads/2023/09/scan-w.png	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-content/uploads/2023/09/scan-w.png	(from https://nysexerc.com/)
11:40:40	4882/4882	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Sep%202023%2016:46:49%20GMT	https://nysexerc.com/wp-content/uploads/2023/09/dex.png	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-content/uploads/2023/09/dex.png	(from https://nysexerc.com/)
11:40:40	7140/7140	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Sep%202023%2016:46:48%20GMT	https://nysexerc.com/wp-content/uploads/2023/09/632a72294d9fe9e80ec84a17_4uvqjvzw.png	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-content/uploads/2023/09/632a72294d9fe9e80ec84a17_4uvqjvzw.png	(from https://nysexerc.com/)
11:40:40	3532/3532	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Sep%202023%2016:46:48%20GMT	https://nysexerc.com/wp-content/uploads/2023/09/632a728bd242c2e08fcb1ca0_7ukqlhlw.png	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-content/uploads/2023/09/632a728bd242c2e08fcb1ca0_7ukqlhlw.png	(from https://nysexerc.com/)
11:40:40	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2016:40:41%20GMT	https://nysexerc.com/%22https://nysexerc.com/wp-content/uploads/2023/10/im-5.png%22	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/_https_/nysexerc.com/wp-content/uploads/2023/10/im-5.png_	(from https://nysexerc.com/)
11:40:41	39790/39790	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Mar%202024%2016:40:41%20GMT	https://nysexerc.com/%22https:/nysexerc.com/wp-content/uploads/2023/10/im-5.png	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/_https_/nysexerc.com/wp-content/uploads/2023/10/im-5.png	(from https://nysexerc.com/)
11:40:41	1118253/1118253	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Oct%202023%2018:26:10%20GMT	https://nysexerc.com/wp-content/uploads/2023/10/im-3.png	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-content/uploads/2023/10/im-3.png	(from https://nysexerc.com/)
11:40:42	124264/124264	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Oct%202023%2019:12:52%20GMT	https://nysexerc.com/wp-content/uploads/2023/10/supply.png	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-content/uploads/2023/10/supply.png	(from https://nysexerc.com/)
11:40:42	10214002/10214002	---M--	200	added ('OK')	video/mp4	date:Tue,%2003%20Oct%202023%2018:39:00%20GMT	https://nysexerc.com/wp-content/uploads/2023/10/video_2023-10-04_00-08-09.mp4	C:/Users/Diego/Desktop/Robo%20webzittt/NYASEX/nysexerc.com/wp-content/uploads/2023/10/video_2023-10-04_00-08-09.mp4	(from https://nysexerc.com/)
